@relation synthetic1
@attribute x real
@attribute y real
@attribute class {1,2}
@data
-0.24, 1.96,1
 1.61, 1.39,1
-0.18,-0.94,1
 1.24,-0.25,1
-1.41, 1.87,1
 0.00,-1.16,1
-1.49,-0.53,1
-1.31,-1.45,1
-0.46,-1.09,1
 0.41,-1.22,1
-1.67,-1.43,1
-0.97, 1.57,1
 0.29, 1.40,1
-0.06,-1.11,1
 1.68, 2.00,1
-1.35,-1.58,1
-0.45, 1.15,1
 1.74, 1.63,1
-1.71, 0.94,1
 0.89, 1.64,1
-0.30,-1.58,1
 0.58,-0.42,1
 1.40,-1.73,1
 0.54,-1.75,1
-1.66, 0.68,1
-1.75, 1.89,1
-1.83,-0.35,1
 1.69,-1.74,1
 0.32,-0.56,1
-0.34, 1.62,1
-0.01,-0.88,1
-1.50, 1.60,1
-0.68, 0.38,1
 0.29,-1.70,1
 1.93, 0.83,1
 0.38, 1.83,1
-0.99,-0.21,1
-0.43, 0.08,1
-0.21,-1.85,1
 0.02, 1.66,1
 0.59,-1.98,1
-1.50,-0.41,1
 2.00, 1.94,1
 1.36, 0.45,1
-1.70,-0.67,1
 1.70, 1.87,1
-1.75,-1.08,1
 1.92, 1.84,1
 0.52, 0.58,1
-1.48,-0.85,1
-0.77,-0.48,1
 0.62, 0.16,1
-0.86, 1.54,1
-0.59, 0.36,1
-1.54, 0.95,1
 1.48,-1.42,1
 1.47, 1.85,1
 1.57,-1.97,1
-0.04, 0.11,1
-0.22, 1.97,1
 0.38,-0.82,1
-0.80,-0.32,1
 0.41, 0.02,1
 0.65, 1.59,1
-0.57, 0.62,1
-0.54, 1.29,1
-1.80,-0.60,1
-1.68, 0.38,1
-0.32,-0.91,1
 1.53, 1.61,1
 1.96, 0.61,1
-1.79,-1.02,1
 0.65,-0.12,1
-0.21,-1.93,1
-0.48, 0.71,1
-0.19,-1.14,1
-1.97, 1.28,1
 0.10,-1.29,1
-0.05, 1.43,1
 0.39, 0.56,1
 0.04, 0.42,1
 0.36,-1.19,1
 0.06, 1.72,1
-0.90,-0.17,1
-1.69,-0.30,1
 1.05,-1.61,1
-1.97, 0.11,1
 1.62, 0.04,1
 0.20,-1.04,1
 0.17, 0.66,1
-0.50,-1.96,1
-0.65, 1.92,1
-1.90, 1.89,1
-0.22, 1.26,1
-0.79,-1.65,1
 0.31, 0.42,1
 0.39,-0.59,1
 0.27, 1.22,1
-0.21,-0.16,1
 0.94, 1.53,1
-1.44,-0.16,1
-1.89,-1.33,1
 1.57,-0.50,1
 1.91,-0.22,1
 1.13,-1.85,1
-0.57,-1.69,1
 0.27, 1.63,1
 0.05,-1.83,1
 1.14,-1.48,1
 1.77,-1.07,1
-0.53,-0.31,1
-0.29,-1.32,1
-1.48,-1.42,1
-1.13,-0.05,1
 0.86,-1.89,1
 1.68,-1.11,1
-1.75, 1.56,1
-1.34,-1.38,1
-1.79, 1.30,1
-1.99, 1.35,1
 1.58, 1.41,1
 1.19,-0.32,1
-0.14,-1.70,1
-1.05, 0.03,1
 1.81, 1.11,1
-0.02, 1.38,1
-0.90, 1.94,1
 0.19,-1.43,1
-0.48,-0.51,1
-1.17, 0.53,1
 1.98,-0.05,1
 1.33, 1.89,1
-1.02, 2.00,1
-1.08,-1.80,1
 1.57, 1.99,1
 1.18, 0.31,1
-1.15,-1.66,1
-0.81, 0.21,1
 0.78, 1.53,1
-1.47, 1.69,1
 0.47, 0.22,1
-0.17,-1.38,1
 1.73,-0.42,1
 1.82,-0.51,1
 0.02,-0.22,1
-0.05, 1.80,1
 1.51,-1.82,1
 1.61, 0.64,1
-1.48,-1.72,1
 0.34,-1.07,1
 0.52,-0.78,1
-1.07, 1.56,1
 1.86,-1.95,1
-0.46, 1.41,1
 1.46, 0.57,1
-0.74, 0.33,1
-0.88, 0.46,1
-1.90,-0.40,1
 1.54, 1.15,1
-1.98,-1.88,1
-0.21, 0.75,1
-0.90,-0.30,1
-0.17, 1.88,1
-1.57,-0.59,1
 0.33, 1.57,1
-0.48, 1.26,1
 0.75,-1.76,1
 0.07, 1.26,1
 0.38,-1.77,1
-1.52, 1.76,1
-0.41, 0.21,1
-0.63,-0.14,1
-0.46, 1.01,1
 0.39, 1.19,1
-1.08, 0.35,1
 0.63,-0.46,1
-0.00, 0.53,1
 0.18,-0.09,1
-0.32,-0.02,1
-0.91, 1.75,1
-0.04, 1.19,1
 1.78,-0.44,1
 1.15,-1.94,1
-0.44, 0.69,1
-1.61,-0.25,1
 0.50,-1.67,1
-0.54, 1.61,1
-1.62,-1.36,1
-0.44, 0.73,1
 0.72, 1.53,1
-0.27,-0.75,1
 1.31,-0.19,1
 0.43, 0.86,1
-0.34,-0.86,1
 1.09,-1.59,1
-1.96, 1.58,1
-0.20,-0.51,1
 0.34, 1.29,1
-1.83,-0.28,1
-1.54, 0.59,1
-1.50, 1.13,1
-1.50,-0.20,1
 0.11,-0.88,1
-0.27, 1.39,1
 0.48, 1.85,1
-0.26, 0.40,1
-1.65,-0.55,1
-0.37,-0.39,1
 1.85, 0.66,1
 1.95, 1.32,1
 0.46, 0.69,1
-1.97,-1.62,1
-0.76,-0.38,1
 1.39, 0.57,1
-1.74,-1.20,1
 1.64,-0.07,1
-0.43, 1.54,1
-1.03, 0.39,1
-1.97,-0.21,1
 1.01,-2.00,1
 0.17,-0.06,1
 0.89,-0.31,1
 0.65, 0.04,1
-1.69, 0.60,1
 0.96, 0.28,1
-0.22, 0.29,1
-1.93,-1.48,1
 0.28,-1.22,1
 1.98,-0.57,1
-1.77,-0.05,1
-0.73, 0.42,1
 1.91, 0.10,1
 0.58, 0.46,1
-0.19,-0.37,1
-0.41, 0.12,1
-1.60, 0.45,1
-0.52, 1.18,1
-0.98, 1.69,1
-1.47, 1.86,1
 0.99, 0.28,1
-1.91,-1.86,1
 0.54,-1.59,1
-0.79, 0.24,1
 1.98,-0.09,1
 0.02, 1.11,1
 1.60,-1.04,1
-1.06,-1.88,1
-1.55, 0.13,1
-0.80,-0.53,1
 0.14, 1.30,1
 1.66,-1.94,1
-0.47, 1.45,1
 0.11, 1.93,1
-0.19,-0.31,1
 0.28, 1.27,1
-0.11,-1.30,1
 0.03,-0.21,1
 1.26,-0.18,1
 1.43, 0.45,1
 1.60, 1.97,1
-0.02, 1.22,1
-0.10,-0.54,1
 1.92, 1.23,1
 1.03,-1.67,1
 0.57,-0.48,1
 1.92,-1.84,1
-1.66, 0.71,1
 0.34,-0.90,1
 1.32, 0.26,1
-1.58, 1.38,1
-0.12,-0.99,1
 1.92,-1.24,1
 0.02,-0.64,1
 1.67,-0.56,1
 0.64,-1.47,1
 0.71, 0.17,1
-1.54, 1.08,1
 0.35, 1.98,1
-1.58,-1.79,1
 1.67,-1.03,1
 1.93, 0.29,1
 1.05,-0.28,1
-0.43, 1.41,1
-1.53, 1.96,1
-1.99,-1.06,1
-0.40,-0.00,1
-1.71, 0.45,1
-0.44, 0.54,1
-1.85,-1.56,1
 0.55,-0.72,1
-1.37, 1.54,1
-0.34,-0.61,1
-0.45,-0.02,1
 1.86, 1.03,1
-1.08, 1.79,1
 0.24,-0.27,1
-1.31, 1.45,1
-1.69, 1.31,1
-0.30,-1.63,1
 2.00,-0.44,1
-1.49, 0.07,1
-1.81, 0.62,1
-1.04, 0.44,1
 0.27, 1.78,1
-0.53, 0.62,1
-1.49,-1.60,1
 0.71, 0.25,1
 1.13,-0.45,1
-1.81,-0.72,1
-0.81, 0.04,1
 0.52, 0.31,1
-1.51,-1.32,1
 2.00,-1.34,1
-1.67, 0.04,1
-1.65,-1.05,1
-0.47, 0.58,1
-1.94,-0.58,1
-0.09, 1.58,1
 0.03, 0.74,1
-1.13,-1.54,1
-0.41, 1.80,1
 1.73,-1.42,1
-0.43,-1.81,1
-0.15,-0.47,1
 0.82,-0.13,1
-0.31, 0.02,1
 1.90, 1.07,1
 0.34,-0.27,1
 0.42,-1.89,1
-0.16,-1.64,1
 0.18, 1.92,1
-1.42, 0.61,1
 1.93, 1.35,1
 0.84,-1.73,1
 0.10,-0.55,1
 0.73,-0.56,1
 0.46, 0.38,1
 0.34, 0.26,1
 0.06,-1.87,1
-0.50, 1.05,1
-1.53,-1.36,1
 0.18, 1.09,1
 0.37, 0.23,1
 0.65, 0.36,1
 1.91, 1.13,1
-0.63, 0.60,1
-0.32, 0.37,1
-0.19, 1.54,1
 0.44, 0.16,1
-1.02, 0.02,1
 0.38, 1.91,1
 0.22, 1.20,1
 0.10,-0.52,1
-1.68,-0.33,1
 0.08,-0.02,1
-0.33,-0.22,1
 0.10,-1.85,1
-1.10,-0.11,1
-0.27,-1.82,1
-0.42, 1.28,1
-0.76, 1.53,1
 1.51, 2.00,1
 1.63,-0.11,1
 1.80,-0.38,1
-0.32, 0.32,1
-1.52, 0.23,1
 0.34, 0.52,1
-0.92,-0.12,1
-0.34,-1.46,1
-1.55,-0.81,1
-0.26, 1.06,1
-0.41,-1.30,1
-1.70, 1.65,1
-1.09,-0.19,1
 1.55, 0.83,1
-1.23,-0.27,1
-1.36,-0.48,1
 0.94,-1.89,1
-1.22, 1.67,1
-0.01, 1.49,1
 1.82, 0.92,1
-0.14, 0.47,1
 0.82, 0.34,1
 1.49,-1.90,1
-0.60, 1.43,1
 1.65, 0.71,1
 0.35,-1.00,1
-1.83,-1.84,1
 0.90, 1.65,1
-1.99,-1.14,1
 0.13, 0.23,1
-1.25, 0.31,1
-0.74,-1.51,1
 0.77,-0.45,1
-0.68,-1.39,1
 1.27, 0.36,1
-1.32, 0.60,1
 1.09,-0.05,1
 0.25, 1.61,1
 0.36, 0.94,1
 1.51, 1.09,1
-0.64,-1.46,1
-0.57, 0.54,1
 0.41,-1.09,1
 1.33, 0.43,1
 0.62,-0.58,1
 1.23, 0.47,1
 1.19, 0.35,1
 0.54,-1.99,1
 1.46,-1.43,1
 0.44, 0.01,1
 0.14,-1.55,1
-1.13, 1.54,1
 0.59, 0.15,1
-0.04, 1.10,1
 1.29,-1.75,1
-0.74,-0.52,1
 1.63,-1.74,1
 0.25, 0.08,1
 0.98,-0.04,1
-1.99, 1.49,1
 0.24, 0.53,1
 1.54, 1.35,1
 0.38,-0.73,1
 1.32,-0.26,1
-0.79,-1.52,1
-0.14, 1.73,1
-0.25, 0.47,1
-1.69, 2.00,1
 1.11,-1.52,1
 0.77,-0.55,1
-1.83, 1.30,1
-0.30, 1.67,1
 0.59, 1.40,1
 1.12,-0.36,1
-1.77, 0.21,1
-1.61,-0.74,1
-0.23, 1.63,1
 0.74,-1.99,1
-1.38, 0.47,1
 1.58, 0.62,1
-0.08, 1.45,1
 0.10,-0.15,1
 1.84,-1.47,1
 0.11, 0.02,1
-1.83,-0.01,1
-0.22, 0.66,1
 1.47,-0.75,1
-0.23, 1.39,1
-0.60,-1.52,1
-0.45, 1.12,1
-1.30,-1.76,1
 0.27,-0.41,1
 1.14, 1.80,1
 1.95,-0.65,1
-1.54,-1.46,1
-1.41, 1.67,1
 0.22,-1.05,1
 1.88,-0.01,1
-1.92,-0.36,1
 1.59, 0.44,1
 0.23, 0.05,1
 1.92,-1.22,1
-0.12, 1.70,1
 0.21,-0.07,1
-1.06,-0.50,1
-0.31,-0.84,1
-0.07, 0.17,1
-1.72, 1.48,1
-1.07, 0.37,1
 1.78, 0.79,1
-0.70, 0.29,1
-1.69, 1.52,1
 1.67,-0.92,1
-1.54,-0.68,1
-1.46, 0.25,1
 1.99,-0.41,1
-0.51, 0.18,1
 0.47,-1.24,1
-1.62, 1.56,1
 1.58,-1.75,1
 1.54, 0.07,1
 1.16, 0.06,1
-0.23,-0.79,1
 0.07, 1.68,1
 1.50, 1.85,1
-1.88, 1.74,1
-1.93, 1.69,1
-0.28,-0.12,1
-1.54, 0.90,1
-0.51, 1.75,1
-0.76, 0.07,1
 0.70, 1.59,1
-0.09,-0.72,1
-1.11,-0.20,1
 1.47,-1.68,1
-0.09,-0.26,1
 1.42,-0.14,1
-1.29,-0.15,1
 0.19, 2.00,1
-0.56, 0.24,1
 1.71,-1.05,1
 0.25, 0.14,1
 1.40, 1.94,1
 1.35,-1.83,1
-1.20,-0.53,1
 0.87, 1.91,1
 1.03, 0.45,1
 1.58,-1.09,1
-0.04,-1.33,1
-0.23,-0.95,1
-0.31, 0.07,1
-0.94, 1.88,1
 1.02, 0.01,1
-0.05, 1.76,1
-1.35,-1.85,1
 0.34, 0.24,1
-1.54, 0.50,1
 0.33, 0.10,1
-1.62, 0.96,1
-1.71, 1.33,1
 0.08,-0.39,1
-1.14,-0.20,1
-0.62, 1.88,1
-1.41,-1.97,1
-0.12,-0.21,1
-0.08, 1.96,1
 0.62, 0.39,1
-0.45, 1.45,1
 0.53,-0.69,1
 1.79, 1.75,1
-0.31,-0.20,1
 1.01, 1.91,1
-1.08,-1.97,1
 0.07,-0.59,1
-1.75,-0.21,1
 0.84,-1.96,1
 1.32,-0.25,1
-1.56, 1.05,1
-1.97, 0.18,1
-0.26,-0.67,1
-2.00,-1.52,1
-0.25, 1.99,1
 1.09, 1.52,1
 0.00,-1.57,1
 0.35, 1.96,1
-1.96,-0.05,1
-1.89, 0.33,1
 0.30,-1.90,1
 0.57, 0.69,1
 1.59, 1.89,1
 0.08,-0.90,1
-1.64,-0.84,1
-0.19, 0.57,1
 0.05, 1.39,1
 0.13,-1.42,1
-0.84, 0.41,1
-1.06, 0.06,1
 0.89, 1.75,1
 1.87, 0.64,1
 0.87, 1.80,1
-1.77, 1.88,1
-1.76, 0.36,1
-0.79, 0.01,1
 0.00,-1.15,1
 0.64,-1.84,1
 0.17, 1.88,1
 0.12,-1.45,1
-0.19, 0.39,1
 1.07, 1.81,1
 1.81,-1.13,1
-1.93, 0.44,1
-1.56, 0.86,1
-0.50, 1.51,1
 1.68,-1.04,1
-0.27, 1.26,1
-0.33,-0.45,1
-1.78, 1.28,1
 1.61,-0.68,1
 1.65,-1.91,1
-0.45,-1.34,1
 1.55, 0.99,1
 1.45, 0.18,1
-0.39, 1.76,1
 1.65, 1.79,1
-1.55, 1.28,1
 0.46,-1.50,1
 1.97,-0.26,1
 0.49, 1.47,1
 1.71, 1.85,1
-0.37, 0.97,1
 0.18,-0.35,1
-1.35,-0.03,1
 0.02, 0.76,1
 0.35, 1.91,1
 0.18,-0.64,1
-1.15,-1.93,1
-1.50,-0.19,1
-1.86, 0.35,1
-1.66,-0.46,1
-1.51,-0.19,1
 0.00, 0.97,1
-1.29, 1.83,1
 0.36,-1.50,1
-1.64, 1.23,1
-0.26, 0.46,1
 1.80,-0.41,1
 1.48, 0.06,1
 0.03,-0.56,1
 0.64,-0.59,1
-1.48,-0.62,1
-0.88, 0.01,1
 1.86, 1.53,1
 1.75,-0.09,1
 0.08,-0.79,1
-0.44,-0.30,1
-1.87, 0.78,1
-0.09, 1.68,1
 1.76, 1.87,1
 0.53, 0.38,1
 1.76, 0.98,1
 0.70, 0.09,1
-1.35,-1.56,1
 0.78,-1.86,1
 1.85,-0.06,1
-0.19, 0.03,1
 0.71,-1.51,1
 0.52, 1.61,1
 0.38, 1.83,1
-1.63, 1.39,1
 1.55,-1.84,1
-0.88,-0.40,1
 1.60,-0.15,1
-0.93, 0.26,1
 0.01,-1.50,1
-0.79,-0.25,1
-0.31,-0.74,1
-0.16,-1.78,1
-0.86, 0.07,1
-0.14, 1.26,1
 1.96, 0.31,1
-1.80, 1.59,1
 1.27, 1.48,1
-0.56, 0.36,1
-1.11,-1.51,1
 0.43, 0.57,1
 1.55, 1.58,1
 1.72,-0.73,1
-0.96,-1.86,1
 0.79,-1.95,1
 0.02, 1.09,1
-0.09, 0.81,1
-0.15,-0.79,1
 1.89, 0.38,1
 1.81,-0.82,1
 0.97, 1.69,1
-0.33,-0.07,1
-0.12,-1.25,1
-1.81, 0.01,1
-0.89, 1.70,1
-1.88,-1.43,1
-1.98, 0.25,1
 1.51, 1.38,1
-1.16, 1.82,1
 0.31, 0.52,1
-1.36,-0.25,1
 1.68,-0.47,1
-1.06,-0.13,1
 0.87, 0.27,1
-0.31,-0.12,1
 1.86, 0.82,1
-0.51, 0.00,1
 0.95, 1.60,1
-0.08, 1.54,1
 1.54,-0.10,1
 0.00,-0.10,1
 0.01, 1.63,1
 1.65, 1.84,1
-0.32, 1.98,1
-0.58, 0.46,1
-0.29, 0.71,1
-1.86, 0.28,1
 1.67, 0.89,1
-1.83,-1.74,1
 1.45,-0.47,1
-1.63,-1.30,1
-0.16, 0.01,1
 0.07, 0.61,1
-1.66,-1.34,1
 1.39,-0.64,1
-1.24, 1.58,1
-0.46, 1.90,1
 0.23,-1.12,1
-1.56, 0.92,1
 1.82, 0.26,1
-0.85,-0.10,1
-1.83, 1.88,1
-1.30, 1.94,1
 0.40, 1.49,1
 1.96,-2.00,1
 0.47, 1.40,1
 0.02, 1.16,1
 1.23, 0.42,1
 1.00, 0.01,1
-1.83, 1.35,1
 0.28, 1.80,1
-0.34,-1.57,1
-0.01,-1.60,1
-1.45,-1.67,1
-1.59, 1.53,1
 1.63, 1.19,1
-1.48,-0.08,1
 1.42,-0.69,1
 0.71,-1.90,1
-0.85,-1.72,1
 0.11,-0.44,1
 1.79, 1.57,1
-1.68, 1.39,1
-0.19,-0.28,1
-0.03,-1.57,1
-1.79, 0.55,1
 1.97, 0.63,1
 0.85, 1.92,1
 0.99,-1.92,1
-1.29,-1.67,1
-0.31, 0.16,1
 0.77,-1.59,1
-1.45,-0.19,1
-1.93, 0.35,1
 0.29,-0.14,1
 1.47,-1.23,1
-0.66,-1.50,1
-0.02,-0.51,1
 1.89,-1.55,1
 0.59, 0.29,1
 0.06,-1.41,1
 0.54,-0.06,1
-1.68, 0.44,1
-1.96,-0.09,1
 1.19,-0.15,1
-0.03,-0.28,1
 1.67,-1.65,1
-0.34,-0.40,1
-0.37,-1.05,1
 0.32, 0.97,1
 0.09, 0.76,1
-0.17, 0.23,1
-0.46,-0.57,1
-1.90,-1.11,1
-1.83, 1.17,1
-1.51,-0.22,1
-0.00,-1.89,1
 1.52,-1.11,1
 0.58,-1.97,1
-0.90, 0.27,1
 0.56, 1.96,1
-1.39, 1.47,1
-1.59, 1.12,1
-1.89, 1.54,1
 1.36, 1.75,1
 1.42, 1.94,1
 0.10, 1.12,1
-2.00,-1.56,1
-0.33,-1.01,1
 1.32, 0.16,1
 0.39, 1.27,1
-0.50,-0.73,1
 1.95, 1.86,1
 1.91,-1.00,1
 0.46,-1.50,1
-1.19,-0.10,1
-0.43,-1.26,1
-0.44, 1.67,1
 0.08,-1.69,1
 0.15,-1.04,1
 0.72, 1.56,1
 1.07,-1.96,1
 1.53, 0.48,1
-1.37,-1.53,1
 1.94, 1.92,1
-0.29,-0.67,1
-0.23, 0.21,1
-1.69, 0.21,1
-0.53, 0.11,1
-1.65, 0.57,1
 0.72, 0.50,1
-1.55, 0.93,1
 0.67,-1.54,1
 0.69,-1.45,1
-1.39, 1.46,1
-0.58,-0.42,1
 0.88, 0.29,1
 0.36,-0.53,1
-0.03, 1.81,1
-1.66, 1.46,1
-0.45,-1.92,1
-1.06, 1.88,1
 0.71,-0.13,1
 0.66, 1.43,1
 0.14, 0.47,1
 0.89, 0.23,1
-1.74,-1.53,1
-1.78,-1.18,1
 0.44, 0.66,1
-1.71,-1.69,1
 0.36, 0.84,1
 0.43,-0.18,1
-1.67, 1.81,1
 1.88,-1.76,1
-0.61, 0.18,1
-1.72, 0.81,1
 0.00, 1.63,1
 1.65, 0.20,1
-0.62,-0.43,1
 1.86,-1.94,1
 0.22,-1.69,1
 0.20, 0.67,1
-1.35,-1.75,1
 1.04,-0.34,1
-1.49,-0.34,1
-1.34, 1.70,1
-0.04, 1.30,1
 0.94,-1.73,1
 0.44,-1.25,1
-1.35, 1.81,1
 1.54, 1.77,1
 0.84,-0.20,1
-1.27,-0.04,1
 0.60, 1.92,1
-1.54, 1.05,1
-0.57,-0.50,1
 1.54,-1.30,1
-1.16, 0.08,1
 1.05,-0.36,1
-1.63,-1.34,1
-0.67,-0.48,1
-1.53, 1.00,1
 0.49, 0.73,1
-0.25,-1.92,1
 1.30, 1.52,1
 1.39,-1.62,1
-0.37,-0.13,1
-1.61, 1.16,1
 1.63,-1.17,1
 1.61, 1.41,1
 0.28, 1.71,1
 1.61,-0.09,1
 1.62,-1.37,1
 1.63, 0.16,1
 1.65,-0.62,1
 0.28,-1.62,1
 1.02,-0.20,1
-1.55,-1.49,1
-1.77,-0.27,1
 0.68,-0.06,1
 0.14,-0.35,1
 1.68, 0.61,1
-1.16, 0.52,1
 1.81, 0.77,1
 1.54, 0.49,1
-1.58, 0.44,1
-1.07, 1.87,1
-1.45, 0.51,1
-1.58, 1.93,1
-1.45, 0.06,1
-1.14, 0.08,1
 0.76, 0.03,1
-0.11,-0.83,1
-1.62, 1.19,1
 0.65, 0.30,1
-0.75,-0.40,1
-0.63,-1.46,1
-1.83,-1.76,1
 0.19, 0.48,1
 0.30, 0.13,1
-1.15, 0.07,1
-1.20,-1.81,1
 1.73, 1.84,1
-0.23, 1.22,1
-1.31, 0.60,1
-1.65, 1.62,1
 1.50, 0.01,1
 0.95,-0.16,1
 0.05, 1.23,1
 1.36, 1.59,1
-0.46,-1.41,1
-0.17,-0.46,1
-1.78,-0.79,1
-0.51, 1.63,1
-1.38,-0.21,1
-0.94,-1.66,1
 1.54, 0.42,1
-0.74, 0.56,1
 0.23,-0.12,1
-1.31, 1.44,1
-0.73,-0.23,1
-1.75,-1.33,1
 0.22,-1.37,1
-1.83, 1.45,1
 0.42, 0.00,1
 0.36,-1.34,1
-1.17,-1.94,1
-1.16, 0.21,1
-0.16,-0.67,1
-1.05,-0.42,1
 0.18,-0.13,1
 1.41, 0.39,1
 0.30, 0.53,1
-0.57,-1.75,1
 0.07,-0.38,1
 0.88,-0.42,1
 1.54, 1.23,1
-0.57,-0.37,1
-1.69, 1.01,1
-0.41,-0.14,1
-1.78, 1.10,1
 1.76,-1.35,1
-0.33,-0.86,1
-1.58,-1.51,1
 0.66,-1.81,1
 1.00,-1.99,1
-0.27,-1.26,1
-1.02,-0.28,1
 0.76, 1.60,1
 0.31,-1.25,1
 0.30,-0.82,1
-1.76, 1.63,1
-0.41, 1.50,1
-1.83,-0.66,1
-0.90, 0.44,1
-1.82, 0.80,1
 0.36, 0.65,1
 0.63,-0.30,1
-0.10, 0.75,1
-1.97,-1.48,1
-1.70,-1.06,1
-1.75,-1.18,1
 1.47, 0.01,1
-1.25, 0.03,1
-0.07, 1.61,1
-0.11, 1.50,1
 1.73,-0.64,1
 1.25,-1.73,1
-1.15,-0.30,1
-1.34, 0.44,1
 1.93,-1.88,1
 1.64, 1.99,1
 0.29,-1.81,1
 1.01, 0.18,1
-1.84, 1.22,1
 1.29,-0.38,1
 1.95,-1.28,1
-1.98, 1.69,1
 1.10, 0.51,1
-0.92, 1.66,1
 1.79, 1.23,1
 1.13, 0.31,1
 0.58, 1.65,1
 1.55, 1.41,1
 1.60,-1.94,1
-0.36, 1.13,1
 0.32,-1.60,1
 1.41,-0.09,1
-1.97,-0.68,1
 1.67, 0.57,1
 1.76,-0.63,1
-0.09, 1.64,1
-0.59, 0.50,1
 1.60, 1.02,1
-1.64,-0.75,1
-0.61, 1.68,1
 1.82, 0.03,1
 0.08, 0.80,1
 1.21,-0.51,1
 0.10,-0.57,1
-1.28, 0.49,1
-0.25, 0.42,1
 0.58, 1.61,1
-0.97, 0.17,1
 0.77, 1.66,1
 1.18,-0.46,1
 0.67,-0.34,1
-0.27,-1.89,1
 0.29,-1.83,1
 0.44,-0.01,1
-0.51,-0.22,1
 1.65, 1.66,1
-0.81,-0.21,1
-1.96,-1.84,1
-1.29, 1.77,1
 1.13, 0.33,1
-0.17,-0.33,1
 1.85, 1.89,1
-0.51, 1.45,1
-0.46,-0.31,1
-0.34,-1.74,1
-1.50,-1.54,1
 0.59, 0.12,1
 1.27,-1.78,1
-1.04, 1.93,1
-1.37,-0.12,1
 1.70, 1.82,1
 1.25, 1.95,1
-1.99,-0.50,1
-1.88, 1.22,1
 1.55,-1.55,1
-1.77, 1.40,1
-1.08,-1.96,1
-1.98,-0.82,1
-0.96, 0.02,1
-0.10,-1.29,1
 0.01, 0.03,1
-1.67,-1.48,1
-0.84,-1.72,1
-0.35, 0.99,1
-1.09,-1.63,1
 0.71,-0.39,1
 1.75,-1.98,1
-1.89,-0.49,1
-1.03,-1.57,1
 1.60, 1.43,1
 0.29,-0.35,1
-0.22,-0.01,1
-1.50, 1.41,1
 0.13,-1.91,1
-1.42, 0.31,1
 0.91, 1.60,1
 1.32, 0.35,1
 1.74, 1.77,1
 0.35,-1.62,1
 0.65,-0.04,1
 1.30, 1.88,1
 0.43, 1.49,1
 1.38,-1.37,1
 1.80, 1.82,1
-1.98, 0.71,1
 1.87, 0.30,1
 1.84,-1.95,1
 1.11,-1.55,1
 1.14, 1.62,1
-1.59, 1.13,1
-0.72,-0.57,1
 1.60,-0.09,1
 0.32, 0.89,1
 0.66, 1.66,1
 1.98,-0.58,1
 0.03,-1.30,1
 0.17,-1.18,1
 0.32, 0.70,1
-1.48,-0.34,1
